artifact_id,component,scenario,label,file_path,evidence_type,evidence_status,notes
normal-final-summary,AI1/AI2A,normal_baseline,normal,Dataset/tools/final_dataset/docs/final_dataset_p01_p12_summary.md,dataset_summary_report,validated_dataset_report,"Final normal P01-P12 summary with row count, quality metrics, service distribution, direction distribution, and conn_state distribution."
normal-final-csv,AI1/AI2A,normal_baseline,normal,Dataset/tools/final_dataset/merged/fcaj_ai2a_normal_dataset_p01_p12_core_v3.csv,labeled_dataset_csv,validated_dataset_report,"Accepted final normal core dataset referenced by the summary report."
normal-final-report,AI1/AI2A,normal_baseline,normal,Dataset/tools/final_dataset/merged/fcaj_ai2a_normal_dataset_p01_p12_core_v3_report.json,quality_report_json,validated_dataset_report,"Machine-readable merge quality report for the final normal dataset."
a01-discovery-summary,AI2A,discovery_recon,port_scan_or_recon,Dataset/tools/attack_profiles/attack_001_discovery/docs/attack_a01_discovery_final_summary.md,attack_profile_summary,validated_dataset_report,"A01 final summary with accepted runs, rows, labels, direction, service distribution, and duplicate UID checks."
a02-core-report,AI2A,ssh_auth_attempts,ssh_bruteforce_indicator,Dataset/tools/attack_profiles/attack_002_ssh_authentication/merged/attack_a02_ssh_authentication_core_v3_report.json,quality_report_json,validated_dataset_report,"A02 core report with 2,413 rows, 27 source runs, duplicate UID 0, missing cells 0, and SSH-service dominance."
a02-holdout-report,AI2A,ssh_auth_attempts,ssh_bruteforce_indicator,Dataset/tools/attack_profiles/attack_002_ssh_authentication/merged/attack_a02_ssh_authentication_holdout_v3_report.json,quality_report_json,validated_dataset_report,"A02 holdout report exists; Week 8 records availability but reserves holdout interpretation for later validation discussion."
a02-strategy,AI2A,ssh_auth_attempts,ssh_bruteforce_indicator,Dataset/tools/attack_profiles/attack_002_ssh_authentication/docs/attack_a02_ssh_authentication_strategy.md,campaign_strategy_doc,validated_dataset_report,"Documents bounded SSH campaign design and Zeek limitation: conn.log captures flow behavior, not encrypted auth result details."
a03-summary,AI2A,web_initial_access,web_initial_access_indicator,Dataset/tools/attack_profiles/attack_003_web_initial_access/docs/attack_a03_web_initial_access_final_summary.md,attack_profile_summary,validated_dataset_report,"A03 final summary and merged dataset evidence support web initial-access indicator coverage."
a04-summary,AI2A,http_beaconing,http_beaconing_indicator,Dataset/tools/attack_profiles/attack_004_http_beaconing/docs/attack_a04_http_beaconing_final_summary.md,attack_profile_summary,validated_dataset_report,"A04 final summary supports HTTP beaconing indicator coverage."
a05-summary,AI2A,dns_anomaly,dns_anomaly_indicator,Dataset/tools/attack_profiles/attack_005_dns_anomaly/docs/attack_a05_dns_anomaly_final_summary.md,attack_profile_summary,validated_dataset_report,"A05 final summary supports DNS anomaly indicator coverage."
a06-summary,AI2A,collection_staging,collection_staging_indicator,Dataset/tools/attack_profiles/attack_006_collection_staging/docs/attack_a06_collection_staging_final_summary.md,attack_profile_summary,validated_dataset_report,"A06 final summary supports collection and staging indicator coverage."
a07-aggregate,AI2A,controlled_exfiltration,controlled_exfiltration,Dataset/tools/attack_profiles/final_attack_dataset/reports/ai2a_classifier_dataset_v1_report.json,aggregate_dataset_report,partial_aggregate_evidence,"A07 appears in the aggregate AI2A class counts, but no profile-level final summary was found in the current scan."
a08-summary,AI2A,suspicious_admin,suspicious_admin,Dataset/tools/attack_profiles/attack_008_suspicious_admin/docs/attack_a08_suspicious_admin_final_summary.md,attack_profile_summary,validated_dataset_report,"A08 final summary and QA reports support suspicious administration coverage."
a09-summary,AI2A,east_west,east_west_simulation,Dataset/tools/attack_profiles/attack_009_east_west_simulation/docs/attack_a09_east_west_final_summary.md,attack_profile_summary,validated_dataset_report,"A09 final summary supports east-west simulation coverage."
a10-summary,AI2A,mixed_attack_chain,per_flow_attack_stage,Dataset/tools/attack_profiles/attack_010_mixed_attack_chain/docs/attack_a10_mixed_chain_final_summary.md,attack_profile_summary,validated_dataset_report,"A10 final summary supports mixed-chain evidence; flows should remain labeled by stage rather than one generic class."
a11-not-found,N/A,not_found,N/A,N/A,missing_artifact,not_claimed,"No A11 artifact was found in the current workspace scan, so Week 8 does not claim A11."
a12-sqli-http-log,AI2B,http_sqli,SQLI,Dataset/tools/attack_profiles/attack_012_web_semantic/http_logs/attack_a12_run_001_sqli_search_login_calibration_http.log,zeek_http_log_jsonl,validated_raw_log,"Representative SQLi HTTP log from calibration evidence."
a12-xss-http-log,AI2B,http_xss,XSS,Dataset/tools/attack_profiles/attack_012_web_semantic/http_logs/attack_a12_run_004_xss_search_comment_calibration_http.log,zeek_http_log_jsonl,validated_raw_log,"Representative XSS HTTP log from calibration evidence."
ai1-handoff,AI1,anomaly_detection,normal_or_anomaly,Dataset/tools/ai1_modeling/AI1_HANDOFF.md,handoff_doc,context_only,"Documents AI1 purpose, input path, output, threshold source, and known feature-extraction limitation."
ai1-model-card,AI1,anomaly_detection,normal_or_anomaly,Dataset/tools/ai1_modeling/artifacts/release_candidate_v1/latest/model_card.md,model_card,context_only,"Documents AI1 Isolation Forest feature contract and threshold."
ai2a-dataset-report,AI2A,classifier_dataset,multi_class,Dataset/tools/attack_profiles/final_attack_dataset/reports/ai2a_classifier_dataset_v1_report.json,dataset_report,validated_dataset_report,"AI2A final classifier dataset report with rows, columns, class counts, provenance counts, source rows, and excluded metadata."
ai2a-qa-report,AI2A,classifier_dataset,multi_class,Dataset/tools/attack_profiles/final_attack_dataset/reports/ai2a_classifier_dataset_v1_qa.json,quality_report_json,validated_dataset_report,"AI2A QA report with run count, duplicate UID 0, model feature count, and excluded metadata."
ai2a-release-report,AI2A,model_readiness,multi_class,Dataset/tools/ai2a_modeling/docs/ai2a_release_candidate_v1_report.md,modeling_report,context_for_week9,"Provides downstream AI2A release-candidate evidence; deeper interpretation is deferred to Week 9."
ai2b-summary,AI2B,http_semantic,NONE_SQLI_XSS,Dataset/tools/ai2b_modeling/artifacts/http_dataset_v1_4_8j/ai2b_http_dataset_v1_4_8j_summary.json,quality_report_json,context_for_week9,"AI2B HTTP semantic dataset summary; deeper shortcut and holdout interpretation is deferred to Week 9."
ai2b-freeze-review,AI2B,http_semantic,NONE_SQLI_XSS,Dataset/tools/ai2b_modeling/docs/ai2b_v1_4_9_freeze_review_report.md,modeling_report,context_for_week9,"AI2B candidate freeze evidence; final holdout metrics are not claimed in Week 8."
